ID,job,marital,balance,age,loyalty,subscribed
14680,blue-collar,married,0,31.0,0.4961924299161561,no
15014,technician,single,0,31.0,0.8286302255150906,no
931,retired,married,-90,55.0,0.5386092032710222,no
8968,housemaid,married,0,59.0,0.636822731584566,no
42625,technician,single,2544,31.0,0.46457528519320945,yes
23975,technician,single,50,38.0,0.12705566712144045,no
35418,blue-collar,married,478,33.0,0.9730756823004912,no
35266,admin.,married,-30,48.0,0.11698016701289315,no
39583,technician,married,23076,,0.60193712784261,yes
40623,retired,married,19317,68.0,0.3637346215232746,yes
35225,blue-collar,single,1291,32.0,0.1785559477840667,no
6069,blue-collar,married,247,34.0,0.5093986028116974,no
29835,services,single,1,,0.025743964080719106,no
10705,admin.,married,1116,,0.6854293591570042,no
25371,management,divorced,0,47.0,0.9553784607052979,no
25290,management,married,644,36.0,0.8849921928620159,no
25468,technician,single,874,46.0,0.7604358270823086,yes
11659,blue-collar,married,-141,,0.8125923608698801,no
17867,retired,married,1017,51.0,0.7095358932562761,no
24289,admin.,divorced,0,44.0,0.5776604761776251,no
27221,self-employed,single,1129,35.0,0.22441819028673282,no
5462,blue-collar,married,0,,0.8810901641850488,no
27179,management,married,9916,42.0,0.10802980427086262,no
3437,services,single,323,41.0,0.9719349020280477,no
3482,blue-collar,divorced,92,43.0,0.015376806005682808,no
42698,technician,married,994,42.0,0.1722277448274998,yes
38901,technician,single,534,,0.4319951430991107,no
44901,admin.,single,174,28.0,0.25092564604067913,no
10946,blue-collar,married,5830,,0.040352833578375935,no
41162,admin.,single,4111,22.0,0.7730448282875723,no
12348,admin.,single,-7,28.0,0.9221219923193769,yes
12325,services,married,-1,52.0,0.3295591745770098,no
26053,entrepreneur,divorced,372,55.0,0.410489999542337,no
13014,blue-collar,married,-308,36.0,0.8886072173263403,no
44325,management,married,752,54.0,0.5259591209761795,yes
9466,technician,married,22,36.0,0.7953853381706155,no
16520,self-employed,single,3761,28.0,0.18440173429876172,no
23427,blue-collar,married,-102,54.0,0.5250168268011921,no
6629,retired,divorced,2083,44.0,0.9883831011923221,no
25512,management,married,2168,40.0,0.8787430304830794,no
38399,management,married,142,33.0,0.5245489632026856,no
12432,self-employed,married,0,37.0,0.08134577899472706,no
18360,management,single,617,44.0,0.28055382373929005,no
40074,services,married,17,40.0,0.06031422460000657,no
39571,unknown,married,1157,54.0,0.8979294864397672,no
44758,technician,married,235,48.0,0.16460508291590703,yes
2008,self-employed,single,123,28.0,0.17944175451065014,no
4068,blue-collar,married,1124,,0.8122428298350529,no
40395,management,married,2383,44.0,0.9772266961680988,yes
29461,management,single,572,41.0,0.8705238525518408,no
9164,blue-collar,married,0,38.0,0.9389003564124104,no
9652,blue-collar,single,3339,,0.3726506585583017,no
20880,management,divorced,666,,0.2874403307475206,no
38683,admin.,divorced,952,40.0,0.07438699285402062,no
18990,technician,divorced,2730,,0.6096158573430485,no
8210,admin.,divorced,2550,40.0,0.7733118614103891,no
5284,blue-collar,married,278,,0.8603109518486984,yes
37275,blue-collar,married,1004,,0.2773556151316474,no
9255,blue-collar,single,1537,39.0,0.07563539831910171,no
20545,management,married,1411,54.0,0.2759089115506915,no
22630,blue-collar,married,63,59.0,0.35390192732962333,no
38128,management,married,10357,38.0,0.10087448859294035,no
6916,retired,married,170,60.0,0.23558693246865203,no
11549,management,married,587,42.0,0.8171672857141744,no
43160,management,married,71,33.0,0.13903195032245885,yes
21426,self-employed,married,576,,0.8427674527479081,no
7581,services,single,1659,32.0,0.5045115905640863,no
22153,technician,married,249,35.0,0.9257601830345915,no
3439,unemployed,married,-318,36.0,0.16991494724154732,no
23379,management,married,0,50.0,0.42975049503150153,no
3060,technician,single,280,,0.46161049048926595,no
4708,technician,married,602,,0.15187356628843407,no
21485,management,married,0,31.0,0.05720232577753448,no
14509,blue-collar,married,514,41.0,0.9117321609357456,no
40617,management,divorced,914,49.0,0.9974413615584087,yes
29963,services,single,2559,29.0,0.04478336742311817,no
16187,technician,married,4790,32.0,0.5559082697496798,no
41574,management,married,2351,48.0,0.9854982134961259,yes
42521,services,married,399,29.0,0.28547056543780625,no
32692,admin.,married,260,,0.25745034134688227,no
8528,blue-collar,married,269,28.0,0.45070350012694305,no
33875,management,married,1441,,0.9026479092877676,no
2095,services,single,737,40.0,0.6299835003765322,no
40263,blue-collar,divorced,172,34.0,0.5479908214511217,yes
17900,self-employed,divorced,21,,0.8878400523554184,yes
1675,blue-collar,single,3,,0.39736955339572155,yes
9053,services,married,682,26.0,0.9551892265325375,no
26832,unemployed,married,7464,51.0,0.2153584784545477,no
13982,technician,married,305,41.0,0.06624285824038045,no
10068,retired,married,3478,,0.33059844697043983,no
28262,technician,married,1405,53.0,0.5883104882007345,no
14700,admin.,married,1388,39.0,0.7134924614278519,no
19011,technician,married,2313,50.0,0.6898445209944862,yes
36306,blue-collar,single,151,,0.9922707606600814,no
39827,management,single,1840,27.0,0.16117687002496628,yes
39504,management,single,747,34.0,0.17970654697613442,no
31689,admin.,married,39,36.0,0.6270200291356723,no
7048,blue-collar,married,-354,32.0,0.18360803501278278,no
6912,services,single,3331,28.0,0.2554375676275482,no
24044,blue-collar,single,9,28.0,0.27285879239737576,no
35961,management,married,257,51.0,0.775385598191616,no
37714,management,divorced,233,46.0,0.5076367014889035,no
2492,admin.,divorced,131,52.0,0.2368790574700751,no
29570,admin.,married,384,38.0,0.39024227841152326,no
40815,technician,married,6573,60.0,0.37741294297481986,no
33821,student,single,3415,24.0,0.211582601362871,yes
7475,blue-collar,married,271,40.0,0.8820201518274382,no
44552,housemaid,divorced,5275,67.0,0.6133263638770571,yes
251,admin.,married,428,49.0,0.417778307904735,no
32451,admin.,married,-76,41.0,0.057722262045093786,no
32443,technician,single,14,32.0,0.1545995902206755,no
12158,management,married,1451,43.0,0.8971797583042018,no
34606,admin.,single,686,,0.46629885733174936,no
19634,management,married,3915,,0.0529541034762776,no
27468,self-employed,married,1006,36.0,0.5406584578072763,no
35917,blue-collar,single,3507,,0.5581683347206557,no
43086,student,single,5741,27.0,0.24525989593746134,no
23675,technician,married,298,34.0,0.9793421242315468,no
20718,housemaid,married,163,32.0,0.9278575978065726,no
24508,management,married,0,52.0,0.8103600984195325,no
18357,blue-collar,married,462,,0.5917123482535562,no
12387,technician,married,-1680,49.0,0.21885923548119124,no
26615,entrepreneur,married,6659,,0.1487403515162652,no
40767,retired,married,10394,,0.2628162481694233,no
31069,management,married,2960,,0.22894849913045845,no
27153,admin.,divorced,81,50.0,0.9718030327380428,no
39899,self-employed,married,4920,,0.5412119031743201,no
24858,management,married,1388,,0.10351386110847227,no
5090,management,married,293,34.0,0.25044345147640223,no
25381,services,married,508,,0.7983662122848658,no
30097,retired,married,2516,,0.7381974394957133,no
19797,unemployed,married,5177,38.0,0.14375518493235484,no
25221,admin.,married,3729,54.0,0.06311890834693368,no
11908,blue-collar,married,1779,37.0,0.07377551373090041,no
7381,technician,married,381,,0.6981151243912993,no
621,technician,married,147,48.0,0.509262794448237,no
7313,admin.,single,2015,41.0,0.6765730344633145,no
43881,management,single,3544,35.0,0.8331689602333099,yes
32717,blue-collar,married,229,,0.6204800373218632,no
15169,technician,married,231,32.0,0.13799240848801309,no
16439,blue-collar,married,291,48.0,0.22420796820151934,no
27322,unemployed,married,591,31.0,0.9564389079585537,no
1324,management,married,2261,,0.23666261691832546,no
13271,admin.,single,0,38.0,0.3179702365490583,no
34441,technician,married,994,43.0,0.035909259935229865,no
33061,blue-collar,married,-3,,0.5781618564759795,no
23007,retired,married,0,59.0,0.41157420006906287,no
2142,entrepreneur,married,108,32.0,0.23934145099008575,no
20381,retired,divorced,451,53.0,0.2677543250056016,no
24727,technician,married,42,48.0,0.7322203873694857,no
41457,management,single,7918,35.0,0.32266251625852405,yes
16469,management,married,699,36.0,0.7630893906064717,no
33552,blue-collar,married,313,29.0,0.2639168121568788,no
9779,blue-collar,married,16431,41.0,0.373495258259956,no
15444,admin.,single,24,,0.5110537487751726,yes
11119,services,married,2289,,0.1568435333223227,no
18310,retired,married,1591,,0.44536908581803447,no
29692,admin.,married,16,27.0,0.26090955340117816,no
26965,management,divorced,11998,,0.7630752893989221,no
34954,admin.,married,752,32.0,0.06495849772746176,yes
28451,self-employed,single,892,,0.29038572666687246,no
14703,retired,divorced,13,54.0,0.2436439229092341,no
29136,admin.,single,5,,0.9667904611358292,no
12889,blue-collar,married,-196,28.0,0.42209312499173934,no
14666,unemployed,married,31,31.0,0.6596679314013595,no
28655,management,single,313,39.0,0.77594951528466,no
21138,technician,divorced,0,44.0,0.5304517860376895,no
41930,technician,single,70,35.0,0.3850752416593948,no
19034,blue-collar,married,0,48.0,0.8866298806989324,no
16971,blue-collar,married,305,,0.9934280843098361,no
38370,management,single,6781,,0.12404409063180422,no
40360,self-employed,single,147,27.0,0.0259462583566199,no
9730,management,married,4362,42.0,0.1271347691632535,no
10001,admin.,married,1487,38.0,0.49835370763232634,no
32365,technician,single,2511,36.0,0.6791269380530828,yes
30084,technician,single,449,31.0,0.6199523666847239,no
12102,technician,single,455,,0.968697705348267,no
35659,management,single,0,48.0,0.5154443117745157,no
40258,admin.,married,3547,60.0,0.5028252174006406,yes
44673,technician,married,2627,40.0,0.2613469094538222,no
27547,services,married,1637,34.0,0.01598011717039549,no
23008,technician,single,0,,0.19846491729025795,no
5768,management,married,-606,,0.2664443791160609,no
45100,management,single,985,30.0,0.8359028604685061,yes
38630,blue-collar,single,-179,,0.19086098216038172,no
32956,technician,married,260,34.0,0.33290316441723267,no
1018,admin.,married,367,39.0,0.2408234003558405,no
30770,services,married,-37,58.0,0.21801814335951486,no
7797,management,single,453,31.0,0.19416706987347532,no
9877,management,married,669,36.0,0.9556808586105255,no
14615,blue-collar,married,299,40.0,0.012656218864750102,no
8401,admin.,single,317,,0.6600585106540936,no
6694,blue-collar,married,933,,0.46146631835856977,no
9322,management,divorced,0,56.0,0.9452604842369581,no
16707,blue-collar,divorced,271,,0.5383127498208624,no
30816,unemployed,married,924,37.0,0.5548631327091126,no
9593,blue-collar,married,-204,,0.751444772380782,no
29453,services,divorced,553,43.0,0.99931460977204,no
22371,technician,divorced,308,35.0,0.4505639856663195,no
36113,admin.,married,1,38.0,0.010060633611455705,no
1537,technician,married,195,36.0,0.05235303448267559,no
28068,student,single,585,27.0,0.4160154469609417,no
27811,blue-collar,single,415,29.0,0.388895246699562,no
21854,technician,single,0,,0.47625100529857334,no
13204,blue-collar,divorced,2775,,0.1927732391278858,no
41587,management,married,1323,33.0,0.587939492167009,no
42819,student,single,0,20.0,0.10289816914177496,no
5910,management,divorced,1492,48.0,0.7679336520909394,no
29181,management,married,474,,0.9522198345878556,no
15357,management,single,3142,31.0,0.050524582530524276,no
4152,admin.,married,738,,0.6293345305416582,no
16193,blue-collar,married,300,27.0,0.9944781283924868,no
24333,student,single,5827,,0.9142874229398912,no
43076,technician,married,4807,,0.5968876342183577,no
7221,technician,married,2402,51.0,0.9353448629982386,no
20641,technician,married,545,47.0,0.34201396667287975,no
35711,management,single,259,40.0,0.43930142396494687,no
4331,management,married,9051,45.0,0.5687560726039033,no
31331,admin.,married,1332,61.0,0.059373499547991204,yes
37196,blue-collar,married,35,,0.3089067102723245,no
26758,admin.,divorced,361,,0.8210244517575129,no
22034,technician,married,0,,0.2900892393762131,no
16158,admin.,married,635,49.0,0.40866579542671144,no
34135,technician,single,1105,25.0,0.889302869886647,no
11802,management,married,3164,56.0,0.027341412345772476,no
31674,management,divorced,714,38.0,0.5061226486888983,no
11822,technician,married,302,47.0,0.23077906025788553,no
34438,blue-collar,married,640,45.0,0.39889581978631583,no
7205,management,married,1749,39.0,0.12401888310480202,no
4307,management,single,444,31.0,0.04049359942991693,no
44858,management,single,3902,25.0,0.3143751526379579,yes
10664,technician,married,0,44.0,0.14040620240592505,no
33549,services,married,-1006,,0.2979294554934301,no
4992,self-employed,married,-370,,0.13013125506768086,no
22944,blue-collar,married,2,45.0,0.45374485241751883,no
18266,management,divorced,51,45.0,0.6172519867907466,no
43903,blue-collar,single,799,30.0,0.9683835971101344,yes
25677,student,married,260,40.0,0.1059560107536418,no
17571,admin.,divorced,3100,57.0,0.32986963432117644,no
409,technician,married,284,38.0,0.36541916412354025,no
284,blue-collar,married,76,,0.03141438180592404,no
27001,management,divorced,1968,,0.6509479444640305,yes
12159,technician,divorced,21,42.0,0.3685609872712299,no
21289,self-employed,married,8402,44.0,0.44829957395797915,no
5523,blue-collar,married,736,32.0,0.8475351387860534,no
20664,services,married,1355,,0.4193820308187096,no
37295,self-employed,single,1798,34.0,0.16856458425477527,no
1283,management,married,66,,0.008911971192138601,no
43988,blue-collar,married,67,,0.07663749412967302,no
3575,technician,divorced,809,,0.5932446744961805,no
36106,admin.,married,298,47.0,0.8421299089090885,no
40284,housemaid,single,3232,46.0,0.2685633187953359,no
20572,management,single,812,30.0,0.6432599993166842,no
1387,admin.,married,242,37.0,0.5291452245980247,no
3655,management,single,-228,,0.5593034197323676,no
27959,entrepreneur,married,3463,44.0,0.35941919898309793,no
24619,management,single,11971,38.0,0.12279759787717193,no
10384,services,married,1291,40.0,0.04417594466444885,no
44268,technician,single,0,37.0,0.0048001239781017,yes
177,unemployed,married,41,48.0,0.158836344270034,no
11620,blue-collar,married,246,41.0,0.010892807985808495,yes
43296,admin.,married,16517,,0.7253399021917493,no
7333,management,married,8794,42.0,0.8199317592740969,no
2078,blue-collar,married,231,60.0,0.36348697593865864,no
44099,retired,married,2795,70.0,0.5264504498650577,yes
13165,blue-collar,single,517,,0.0120927569565622,yes
32783,technician,married,9305,33.0,0.33317012728959094,no
35952,blue-collar,married,863,52.0,0.6429953789003011,no
21486,admin.,married,204,52.0,0.7754978011345253,no
12089,management,married,1105,47.0,0.5517662810278561,no
8062,blue-collar,married,1861,,0.6345453761275116,no
8167,services,single,229,25.0,0.3126512257310413,no
3391,blue-collar,single,487,35.0,0.32958345486526486,no
31414,technician,married,390,,0.5658910065210885,yes
10944,entrepreneur,single,926,37.0,0.3466666161669203,no
8108,blue-collar,married,502,38.0,0.7513508953473224,no
3836,technician,single,409,,0.40092879011965543,yes
24413,technician,married,0,,0.2822568941040482,no
11550,technician,married,1070,57.0,0.5583789491861527,no
6089,technician,married,-157,50.0,0.5321069805261738,no
35622,admin.,divorced,64,,0.6532273721775638,no
41876,management,divorced,1619,62.0,0.3809495670496873,no
25016,housemaid,married,694,,0.5104010747493956,no
38301,admin.,married,685,31.0,0.7025323631416304,yes
3953,blue-collar,divorced,-57,43.0,0.2016986874019755,no
6910,blue-collar,married,134,48.0,0.3471737344350002,no
1601,blue-collar,married,136,,0.9007954716731295,no
10395,unknown,married,1317,,0.3166564477925413,no
9610,services,married,162,,0.3082272627153261,no
2678,services,married,693,,0.42786457565332103,no
26738,blue-collar,single,6982,32.0,0.10144614300380317,no
6889,blue-collar,single,327,,0.6688367996579158,no
18852,technician,divorced,1591,50.0,0.2766519365656065,no
22137,blue-collar,married,13156,45.0,0.6188768088178548,no
32404,blue-collar,married,2366,39.0,0.1899139710297746,no
42386,admin.,married,2033,45.0,0.5286738427437729,no
38826,blue-collar,married,-95,29.0,0.4069282417200898,no
19038,housemaid,married,100,59.0,0.12188381032343132,yes
1825,student,single,151,,0.8763846095773717,no
34978,management,married,2640,34.0,0.221775950080207,no
9432,self-employed,married,189,32.0,0.674507570051367,no
9684,admin.,married,3234,40.0,0.029907902241963602,no
35685,services,married,100,,0.5106255819832195,no
17673,management,married,2690,,0.5330634303241818,no
4234,admin.,single,-346,,0.507492679447384,no
16610,services,divorced,138,,0.7766836037851597,no
4345,technician,single,710,23.0,0.14813223480542392,no
35625,blue-collar,divorced,169,47.0,0.7132515600761733,no
44199,technician,single,3843,24.0,0.293129349456972,no
44323,admin.,married,389,,0.014546193350091108,no
25903,management,married,6449,32.0,0.300821275845397,no
9244,blue-collar,single,68,38.0,0.051585643388080915,no
31916,blue-collar,married,1235,34.0,2.3081464233354332e-05,no
13972,retired,married,-24,,0.3547168119730578,no
22441,blue-collar,married,1341,55.0,0.4332987399864905,no
19922,technician,single,4359,38.0,0.8758622715806075,no
30390,technician,divorced,66,34.0,0.959579489515472,no
8091,management,single,1475,,0.45185665644112494,no
38034,blue-collar,married,911,35.0,0.23440141187972374,no
33407,services,single,181,,0.08308901384653089,no
15687,blue-collar,married,-537,,0.46973884664376,yes
34011,services,married,1422,31.0,0.7794900437099149,no
21267,technician,married,96,,0.22426044816049784,no
39095,admin.,single,3505,24.0,0.9164083832484698,no
43539,technician,married,2779,35.0,0.8451673730167337,yes
40232,services,single,12,25.0,0.07627266508698372,yes
21298,management,married,52,52.0,0.3221118675750987,no
29130,technician,married,1301,,0.5304844084800162,no
20614,blue-collar,married,388,55.0,0.12251246736449584,no
34668,blue-collar,married,2345,48.0,0.15410413490772812,no
26676,technician,married,4263,59.0,0.7731548655649452,no
7260,technician,married,8254,23.0,0.9192859016851059,no
38067,blue-collar,single,97,34.0,0.3867177333963766,no
39184,blue-collar,married,139,37.0,0.18142667576924132,no
39935,management,married,55,,0.039017430710109435,no
11402,retired,married,5087,58.0,0.7354041313024072,no
5436,admin.,married,-299,44.0,0.45473455685528985,no
37933,blue-collar,married,1407,38.0,0.7195676214685933,no
45103,admin.,single,410,31.0,0.6954077208302311,yes
5485,blue-collar,married,630,,0.3564175890253185,no
4965,blue-collar,married,289,52.0,0.9724005078572378,no
27251,management,married,-456,41.0,0.7371920754629508,no
1590,management,married,89,,0.16047966750235798,no
38209,admin.,married,-94,,0.9450632309315677,no
22629,management,married,830,,0.4428717281505272,no
7097,technician,single,485,35.0,0.4279612832768469,no
5222,technician,single,363,37.0,0.3827160395043063,no
21264,services,married,0,46.0,0.7018065754408768,no
27804,admin.,single,1309,30.0,0.8417300087249107,yes
29112,management,single,585,47.0,0.38457619392760856,no
17906,technician,single,746,,0.27477197213159177,no
37472,unemployed,single,9,35.0,0.20280838747768948,no
38002,blue-collar,married,-135,54.0,0.19499741181295072,no
8985,entrepreneur,married,-250,43.0,0.024591601425833276,no
13418,blue-collar,divorced,452,45.0,0.08925448007193382,no
17082,housemaid,single,0,31.0,0.34167221330266273,no
18710,self-employed,married,0,29.0,0.42647560192054723,no
20332,technician,single,4,37.0,0.827063160277347,yes
35291,retired,married,138,58.0,0.7468077172268479,no
40438,management,single,9314,28.0,0.39675542079665316,yes
6499,management,married,1379,43.0,0.15159737971668352,no
9130,admin.,single,0,39.0,0.6832327722809621,no
24713,retired,married,1826,54.0,0.9185821284390309,no
16192,management,single,336,41.0,0.8705916599608338,no
44939,housemaid,single,3232,47.0,0.44342260051130744,no
17159,technician,married,19,31.0,0.024693398223601726,no
6197,retired,married,-48,59.0,0.07513641398390791,no
3962,admin.,married,2687,44.0,0.20219191128291725,no
10061,entrepreneur,married,568,48.0,0.38370226172552235,no
32101,management,married,1944,52.0,0.3271715034224403,no
19523,technician,married,4023,,0.40629900300803534,no
8688,management,married,-409,42.0,0.4587372824698037,no
12268,management,divorced,20,36.0,0.8625167199274393,no
6686,blue-collar,married,298,31.0,0.03753938021759229,no
18701,admin.,single,189,28.0,0.8723144012991737,no
9361,blue-collar,married,0,,0.08897893671070567,no
19554,technician,single,153,,0.017605332399475926,no
35025,blue-collar,single,-190,31.0,0.19253893235214103,no
37150,management,single,1,,0.23464491140435229,no
777,blue-collar,married,166,,0.41140226792825074,no
37489,blue-collar,married,113,34.0,0.6129018623840978,no
38562,blue-collar,married,249,36.0,0.39816624734071493,yes
43511,admin.,divorced,2980,31.0,0.08227170068525491,no
16914,management,single,502,46.0,0.7104969063228963,no
9003,unknown,married,3940,,0.9225591070835542,no
8329,blue-collar,single,6285,33.0,0.2783232888470696,no
34598,management,married,1649,47.0,0.4252027032473811,no
13043,blue-collar,married,-169,46.0,0.45760591012812624,no
22760,technician,married,430,33.0,0.5380152188309953,no
28879,unemployed,married,1309,44.0,0.5045952397443124,no
6395,admin.,married,-666,40.0,0.5206888456774057,no
11727,blue-collar,married,1777,53.0,0.2802714737704143,no
42727,student,single,3096,30.0,0.0220516476553807,no
23026,management,single,0,,0.09456608285606649,no
35980,self-employed,married,1270,40.0,0.4770672947401954,no
6029,blue-collar,married,445,,0.2756624771623273,no
33818,student,single,5836,30.0,0.6869503777342476,no
25369,blue-collar,married,1,32.0,0.16174988962369208,no
19626,management,married,1966,32.0,0.3660642876806699,no
11125,admin.,married,1096,48.0,0.7667853832193893,no
24478,management,married,13,,0.829602648249029,no
2367,services,married,2172,40.0,0.9173568950553143,no
29977,entrepreneur,single,301,31.0,0.6934466403535896,no
11513,entrepreneur,married,1857,50.0,0.23215390231582977,no
16730,management,divorced,201,,0.70125699550968,no
23939,technician,married,1670,54.0,0.8459951427223203,no
5272,blue-collar,married,3517,,0.8892726636442928,no
2557,technician,married,463,,0.9466587415907054,no
32538,blue-collar,married,442,,0.9718495382455424,no
16705,blue-collar,married,0,35.0,0.31312140736613125,no
34941,technician,single,0,27.0,0.4620277724148323,no
5428,admin.,divorced,2679,39.0,0.6276886971767726,no
23093,management,married,725,37.0,0.9249682956365761,no
21491,retired,married,63,56.0,0.4341676070541127,no
37448,admin.,single,507,31.0,0.1835036314063584,no
31510,management,married,-2712,52.0,0.31544898493116824,no
43282,retired,married,155,80.0,0.040517089335838086,yes
41074,blue-collar,married,272,23.0,0.9519053571831085,yes
43513,admin.,single,1295,24.0,0.4093797621615606,yes
15571,entrepreneur,married,242,,0.005728218433860954,no
164,blue-collar,married,1225,40.0,0.5382444145165461,no
4190,management,single,889,38.0,0.036295107752402855,no
25534,services,married,1082,33.0,0.48821342940777357,no
27701,management,married,736,44.0,0.4841086461720425,no
41616,retired,divorced,4380,,0.34259972018994556,yes
38132,blue-collar,married,4602,46.0,0.6380690077728992,no
3135,technician,married,2626,44.0,0.3420833917548254,no
2939,management,married,20718,48.0,0.9196877793404633,no
44954,admin.,married,5270,38.0,0.08204946296638549,no
23859,technician,married,-146,35.0,0.029644973168590827,no
30353,technician,married,2037,42.0,0.8588440653872341,no
17156,technician,single,670,35.0,0.4843203895141348,no
29197,admin.,single,303,,0.8693773193417554,no
10656,services,single,1336,,0.12440361702772262,no
17316,blue-collar,married,859,50.0,0.32825630107576376,no
7147,entrepreneur,married,1423,36.0,0.5600349655168471,no
7806,technician,married,1120,,0.8372730844185061,no
7225,retired,married,1052,52.0,0.6712339126203142,no
44517,retired,married,324,70.0,0.8228557926112915,yes
34544,management,single,6392,30.0,0.6579128396202985,no
11692,self-employed,married,746,,0.6665007054489831,no
27452,admin.,divorced,3163,46.0,0.08055617471568333,no
22512,unemployed,single,463,,0.46373064303693823,no
23847,technician,married,599,33.0,0.010443562675907736,no
12374,management,married,544,43.0,0.4782478739074867,no
710,blue-collar,married,372,33.0,0.33469338967993567,no
4807,blue-collar,married,4146,39.0,0.8987192780138122,no
26960,management,married,436,49.0,0.051296985523430205,no
24080,entrepreneur,married,5254,51.0,0.5531623202088143,yes
33422,entrepreneur,single,216,,0.9163830209618372,no
13713,services,married,0,,0.6009647236199865,no
18422,services,married,27,45.0,0.13768525823158362,no
18954,blue-collar,married,1449,,0.21827663805791464,no
21723,technician,married,167,46.0,0.1570359033050739,no
17615,entrepreneur,married,210,43.0,0.6708942242060043,no
24077,management,married,3352,40.0,0.9916587202825519,yes
5906,admin.,married,-167,33.0,0.6892266739866758,no
11069,technician,divorced,531,37.0,0.5445042078479393,no
6085,blue-collar,single,0,40.0,0.6953907697508507,no
12846,management,married,0,40.0,0.0761774379428991,no
40482,retired,married,8603,,0.9845035147217793,yes
11237,admin.,married,90,36.0,0.15369497050318814,no
33833,admin.,single,726,51.0,0.40529700100741206,yes
26215,management,married,852,49.0,0.4304046581643307,no
26709,management,divorced,6410,54.0,0.8658075867630995,no
18868,blue-collar,married,0,45.0,0.7942022717380574,no
38721,admin.,single,-258,,0.2075293564370818,no
18150,services,married,251,40.0,0.9165671233004049,no
17558,blue-collar,single,7547,42.0,0.12123745061367586,no
16796,housemaid,married,169,,0.2784734905693701,no
5949,technician,married,626,46.0,0.2167908032085918,no
17438,technician,married,-342,36.0,0.38652378005094523,no
1281,blue-collar,single,152,46.0,0.5627812773645677,no
28521,management,married,266,29.0,0.1182036235465238,no
22860,technician,single,1051,31.0,0.40290694240249225,no
11406,entrepreneur,married,678,37.0,0.9033980028225936,no
10702,admin.,married,2741,,0.276704228641268,no
